,Nivel,UpLevel,DownLevel,ZeroLevel
167,171,35.98%,47.56%,16.46%
168,172,39.56%,45.60%,14.84%
169,173,39.46%,44.86%,15.68%
170,174,42.78%,42.22%,15.00%
171,175,38.37%,44.19%,17.44%
172,176,37.97%,49.20%,12.83%
173,177,42.86%,40.00%,17.14%
174,178,38.86%,50.26%,10.88%
175,179,40.00%,37.21%,22.79%
176,180,37.56%,47.42%,15.02%
177,181,35.56%,43.93%,20.50%
178,182,41.53%,42.37%,16.10%
179,183,41.13%,45.56%,13.31%
180,184,35.06%,46.32%,18.61%
181,185,35.47%,46.79%,17.74%
182,186,40.60%,45.49%,13.91%
183,187,34.16%,46.62%,19.22%
184,188,39.21%,45.68%,15.11%
185,189,39.21%,42.86%,17.93%
186,191,39.03%,40.46%,20.51%
187,192,36.86%,40.72%,22.42%
188,193,38.69%,40.33%,20.98%
189,194,38.52%,35.80%,25.68%
190,195,34.51%,37.85%,27.64%
191,196,35.56%,34.84%,29.60%
192,197,38.73%,36.39%,24.87%
193,198,40.07%,37.06%,22.87%
194,199,37.04%,33.23%,29.73%
195,200,34.87%,34.23%,30.90%
196,201,37.40%,33.09%,29.51%
197,202,33.07%,29.56%,37.37%
198,203,30.71%,30.71%,38.58%
199,204,27.01%,26.41%,46.58%
200,205,23.68%,25.17%,51.16%
201,206,23.29%,28.88%,47.83%
202,207,20.27%,27.90%,51.83%
203,208,19.15%,21.66%,59.19%
204,209,11.74%,20.87%,67.39%
