,FechaHora,Slope,,,
222,44461.04861,0,0,,
223,44461.05556,0,0,,
224,44461.0625,0,0,,
225,44461.06944,0,0,,
226,44461.07639,0,0,,
227,44461.08333,1,0,,
228,44461.09028,1,0,,
229,44461.09722,0,0,,
230,44461.10417,0,0,,
231,44461.11111,1,0,,
232,44461.11806,-1,pos,,
233,44461.125,-1,0,,
234,44461.13194,-2,0,,
235,44461.13889,0,0,,
236,44461.14583,0,0,,
237,44461.15278,1,0,,
238,44461.15972,1,0,,
239,44461.16667,0,0,,
240,44461.17361,0,0,,
241,44461.18056,0,0,,
242,44461.1875,0,0,,
243,44461.19444,0,0,,
244,44461.20139,0,0,,
245,44461.20833,-1,0,,
246,44461.21528,0,0,,
247,44461.22222,1,0,,
248,44461.22917,0,0,,
249,44461.23611,1,0,,
250,44461.24306,-1,pos,,
251,44461.25,-4,0,,
252,44461.25694,-1,0,,
253,44461.26389,0,0,,
254,44461.27083,0,0,,
255,44461.27778,-2,0,,
256,44461.28472,2,0,,
257,44461.29167,1,0,,
258,44461.29861,-1,pos,,
259,44461.30556,1,0,,
260,44461.3125,1,0,,
261,44461.31944,1,0,,
262,44461.32639,1,0,,
263,44461.33333,0,0,,
264,44461.34028,0,0,,
265,44461.34722,0,0,,
266,44461.35417,0,0,,
267,44461.36111,0,0,,
268,44461.36806,0,0,,
269,44461.375,-2,0,,
270,44461.38194,-6,0,,
271,44461.38889,-6,0,,
272,44461.39583,-4,0,,
273,44461.40278,-6,0,,
274,44461.40972,-6,0,,
275,44461.41667,-7,0,,
276,44461.42361,-5,0,,
277,44461.43056,-5,0,,
278,44461.4375,-6,0,,
279,44461.44444,-6,0,,
280,44461.45139,-4,0,,
281,44461.45833,-3,0,,
282,44461.46528,-2,0,,
283,44461.47222,-1,0,,
284,44461.47917,-1,0,,
285,44461.48611,-2,0,,
286,44461.49306,-1,0,,
287,44461.5,-1,0,,
288,44461.50694,-1,0,,
289,44461.51389,-1,0,,
290,44461.52083,-1,0,,
291,44461.52778,-1,0,,
292,44461.53472,-1,0,,
293,44461.54167,-2,0,,
294,44461.54861,3,0,,
295,44461.55556,2,0,,
296,44461.5625,4,0,,
297,44461.56944,6,0,,
298,44461.57639,6,0,,
299,44461.58333,5,0,,
300,44461.59028,5,0,,
301,44461.59722,4,0,,
302,44461.60417,5,0,,
303,44461.61111,4,0,,
304,44461.61806,2,0,,
305,44461.625,-1,pos,,
306,44461.63194,-1,0,,
307,44461.63889,-1,0,,
308,44461.64583,0,0,,
309,44461.65278,-3,0,,
310,44461.65972,-4,0,,
311,44461.66667,-3,0,,
312,44461.67361,-1,0,,
313,44461.68056,0,0,,
314,44461.6875,3,0,,
315,44461.69444,2,0,,
316,44461.70139,1,0,,
317,44461.70833,6,0,,
318,44461.71528,-3,pos,,
319,44461.72222,-2,0,,
320,44461.72917,-4,0,,
321,44461.73611,-6,0,,
322,44461.74306,-8,0,,
323,44461.75,-8,0,,
324,44461.75694,-8,0,,
325,44461.76389,-5,0,,
326,44461.77083,-4,0,,
327,44461.77778,-4,0,,
328,44461.78472,-3,0,,
329,44461.79167,-3,0,,
330,44461.79861,-3,0,,
331,44461.80556,-2,0,,
332,44461.8125,-3,0,,
333,44461.81944,-2,0,,
334,44461.82639,0,0,,
335,44461.83333,-1,0,,
336,44461.84028,-2,0,,
337,44461.84722,0,0,,
338,44461.85417,2,0,,
339,44461.86111,0,0,,
340,44461.86806,2,0,,
341,44461.875,1,0,,
342,44461.88194,0,0,,
343,44461.88889,2,0,,
344,44461.89583,1,0,,
345,44461.90278,3,0,,
346,44461.90972,5,0,,
347,44461.91667,6,0,,
348,44461.92361,5,0,,
349,44461.93056,4,0,,
350,44461.9375,4,0,,
351,44461.94444,5,0,,
352,44461.95139,5,0,,
353,44461.95833,3,0,,
354,44461.96528,2,0,,
355,44461.97222,3,0,,
356,44461.97917,3,0,,
357,44461.98611,3,0,,
358,44461.99306,4,0,,
359,44462,6,0,,
360,44462.00694,6,0,,
361,44462.01389,6,0,,
362,44462.02083,6,0,,
363,44462.02778,7,0,,
364,44462.03472,5,0,,
365,44462.04167,6,0,,
366,44462.04861,1,0,,
367,44462.05556,1,0,,
368,44462.0625,2,0,,
369,44462.06944,2,0,,
370,44462.08333,2,0,,
371,44462.09028,0,0,,
372,44462.09725,1,0,,
373,44462.10417,1,0,,
374,44462.11111,0,0,,
375,44462.1186,0,0,,
376,44462.125,0,0,,
377,44462.13194,0,0,,
378,44462.13889,0,0,,
379,44462.14583,1,0,,
380,44462.15278,0,0,,
381,44462.15972,0,0,,
382,44462.16667,0,0,,
383,44462.17361,-1,0,,
384,44462.18056,-1,0,,
385,44462.1875,-2,0,,
386,44462.19444,0,0,,
387,44462.20139,0,0,,
388,44462.20833,0,0,,
389,44462.21528,0,0,,
390,44462.22222,0,0,,
391,44462.22917,0,0,,
392,44462.23611,0,0,,
393,44462.24306,0,0,,
394,44462.25,1,0,,
395,44462.25694,-1,pos,,
396,44462.26389,-1,0,,
397,44462.27106,-2,0,,
398,44462.27778,-1,0,,
399,44462.28472,-1,0,,
400,44462.29167,-2,0,,
401,44462.29861,-1,0,,
402,44462.30556,-2,0,,
403,44462.3125,-3,0,,
404,44462.31944,-3,0,,
405,44462.32639,0,0,,
406,44462.33333,0,0,,
407,44462.34028,-2,0,,
408,44462.34722,0,0,,
409,44462.35417,1,0,,
410,44462.36111,2,0,,
411,44462.36806,0,0,,
412,44462.375,1,0,,
413,44462.38194,0,0,,
414,44462.38889,0,0,,
415,44462.39583,-1,0,,
416,44462.40278,-1,0,,
417,44462.40972,-1,0,,
418,44462.41667,0,0,,
419,44462.42361,-2,0,,
420,44462.43056,0,0,,
421,44462.4375,-1,0,,
422,44462.44444,-2,0,,
423,44462.45139,-1,0,,
424,44462.45833,-1,0,,
425,44462.46528,1,0,,
426,44462.47222,0,0,,
427,44462.47917,-1,0,,
428,44462.48611,-2,0,,
429,44462.49306,-2,0,,
430,44462.5,0,0,,
431,44462.50694,2,0,,
432,44462.51389,-1,pos,,
433,44462.52083,-3,0,,
434,44462.52778,-1,0,,
435,44462.53472,-3,0,,
436,44462.54167,-1,0,,
437,44462.54861,0,0,,
438,44462.55556,0,0,,
439,44462.5625,1,0,,
440,44462.56944,-2,pos,,
441,44462.57639,0,0,,
442,44462.58333,0,0,,
443,44462.59028,-1,0,,
444,44462.59722,0,0,,
445,44462.60417,0,0,,
446,44462.61111,2,0,,
447,44462.61806,3,0,,
448,44462.625,3,0,,
449,44462.63194,4,0,,
450,44462.63889,2,0,,
451,44462.64583,3,0,,
452,44462.65278,3,0,,
453,44462.65972,4,0,,
454,44462.66667,5,0,,
455,44462.67361,4,0,,
456,44462.68056,2,0,,
457,44462.6875,0,0,,
458,44462.69444,0,0,,
459,44462.70139,0,0,,
460,44462.70833,-1,0,,
461,44462.71528,1,0,,
462,44462.72222,0,0,,
463,44462.72917,0,0,,
464,44462.73611,-1,0,,
465,44462.74306,0,0,,
466,44462.75,2,0,,
467,44462.75694,1,0,,
468,44462.76389,0,0,,
469,44462.77083,-1,0,,
470,44462.77778,0,0,,
471,44462.78472,-1,0,,
472,44462.79167,1,0,,
473,44462.79861,-1,pos,,
474,44462.80556,0,0,,
475,44462.8125,-2,0,,
476,44462.81944,-1,0,,
477,44462.82639,0,0,,
478,44462.83333,-1,0,,
479,44462.84028,1,0,,
480,44462.84722,1,0,,
481,44462.85417,1,0,,
482,44462.86111,-1,pos,,
483,44462.86806,-1,0,,
484,44462.875,0,0,,
485,44462.88194,0,0,,
486,44462.88889,0,0,,
487,44462.89583,2,0,,
488,44462.90278,0,0,,
489,44462.90972,-1,0,,
490,44462.91667,-1,0,,
491,44462.92361,-1,0,,
492,44462.93056,0,0,,
493,44462.9375,2,0,,
494,44462.94444,2,0,,
495,44462.95139,0,0,,
496,44462.95839,1,0,,
497,44462.96528,1,0,,
498,44462.97222,0,0,,
499,44462.97935,1,0,,
500,44462.98611,1,0,,
501,44462.99306,0,0,,
502,44463,1,0,,
503,44463.00694,1,0,,
504,44463.01389,0,0,,
505,44463.02083,1,0,,
506,44463.02778,0,0,,
507,44463.03472,0,0,,
508,44463.04167,0,0,,
